cohort_19_in,number_in_ss_cohort,region,la_code_9,la_code_3,la_name,fsm,sen,category,value
2021,217,North East,E06000003,807,Redcar and Cleveland,ALL,SEN without statements or EHC plans,l2,56.22119816
2021,1256,North East,E06000003,807,Redcar and Cleveland,Not eligible for FSM,ALL,l2,82.56369427
2021,265,North East,E06000003,807,Redcar and Cleveland,Eligible for FSM,ALL,l2,54.71698113
2021,1938,North East,E06000004,808,Stockton-on-Tees,ALL,ALL,l2,81.73374613
2021,1667,North East,E06000004,808,Stockton-on-Tees,ALL,No SEN,l2,86.38272346
2021,81,North East,E06000004,808,Stockton-on-Tees,ALL,SEN with statements or EHC plans,l2,16.04938272
2021,190,North East,E06000004,808,Stockton-on-Tees,ALL,SEN without statements or EHC plans,l2,68.94736842
2021,1653,North East,E06000004,808,Stockton-on-Tees,Not eligible for FSM,ALL,l2,85.1784634
2021,285,North East,E06000004,808,Stockton-on-Tees,Eligible for FSM,ALL,l2,61.75438596
2021,1100,North East,E06000005,841,Darlington,ALL,ALL,l2,82.09090909
2021,942,North East,E06000005,841,Darlington,ALL,No SEN,l2,85.66878981
2021,32,North East,E06000005,841,Darlington,ALL,SEN with statements or EHC plans,l2,34.375
2021,126,North East,E06000005,841,Darlington,ALL,SEN without statements or EHC plans,l2,67.46031746
2021,972,North East,E06000005,841,Darlington,Not eligible for FSM,ALL,l2,84.36213992
2021,128,North East,E06000005,841,Darlington,Eligible for FSM,ALL,l2,64.84375
2021,4568,North East,E06000047,840,County Durham,ALL,ALL,l2,80.23204904
2021,3925,North East,E06000047,840,County Durham,ALL,No SEN,l2,85.57961783
2021,220,North East,E06000047,840,County Durham,ALL,SEN with statements or EHC plans,l2,22.72727273
2021,423,North East,E06000047,840,County Durham,ALL,SEN without statements or EHC plans,l2,60.52009456
2021,3849,North East,E06000047,840,County Durham,Not eligible for FSM,ALL,l2,83.9698623
2021,719,North East,E06000047,840,County Durham,Eligible for FSM,ALL,l2,60.22253129
2021,3050,North East,E06000057,929,Northumberland,ALL,ALL,l2,80.52459016
2021,2652,North East,E06000057,929,Northumberland,ALL,No SEN,l2,85.70889894
2021,117,North East,E06000057,929,Northumberland,ALL,SEN with statements or EHC plans,l2,28.20512821
2021,281,North East,E06000057,929,Northumberland,ALL,SEN without statements or EHC plans,l2,53.38078292
2021,2708,North East,E06000057,929,Northumberland,Not eligible for FSM,ALL,l2,83.64106352
2021,342,North East,E06000057,929,Northumberland,Eligible for FSM,ALL,l2,55.84795322
2021,2479,North East,E08000021,391,Newcastle upon Tyne,ALL,ALL,l2,73.86042759
2021,2110,North East,E08000021,391,Newcastle upon Tyne,ALL,No SEN,l2,79.0521327
2021,85,North East,E08000021,391,Newcastle upon Tyne,ALL,SEN with statements or EHC plans,l2,15.29411765
2021,284,North East,E08000021,391,Newcastle upon Tyne,ALL,SEN without statements or EHC plans,l2,52.81690141
2021,1896,North East,E08000021,391,Newcastle upon Tyne,Not eligible for FSM,ALL,l2,81.11814346
2021,583,North East,E08000021,391,Newcastle upon Tyne,Eligible for FSM,ALL,l2,50.25728988
2021,1900,North East,E08000022,392,North Tyneside,ALL,ALL,l2,81.78947368
2021,1653,North East,E08000022,392,North Tyneside,ALL,No SEN,l2,85.90441621
2021,93,North East,E08000022,392,North Tyneside,ALL,SEN with statements or EHC plans,l2,26.88172043
2021,154,North East,E08000022,392,North Tyneside,ALL,SEN without statements or EHC plans,l2,70.77922078
2021,1681,North East,E08000022,392,North Tyneside,Not eligible for FSM,ALL,l2,84.65199286
2021,219,North East,E08000022,392,North Tyneside,Eligible for FSM,ALL,l2,59.8173516
2021,1436,North East,E08000023,393,South Tyneside,ALL,ALL,l2,80.22284123
2021,1171,North East,E08000023,393,South Tyneside,ALL,No SEN,l2,87.10503843
2021,89,North East,E08000023,393,South Tyneside,ALL,SEN with statements or EHC plans,l2,25.84269663
2021,176,North East,E08000023,393,South Tyneside,ALL,SEN without statements or EHC plans,l2,61.93181818
2021,1177,North East,E08000023,393,South Tyneside,Not eligible for FSM,ALL,l2,84.1971113
2021,259,North East,E08000023,393,South Tyneside,Eligible for FSM,ALL,l2,62.16216216
2021,2616,North East,E08000024,394,Sunderland,ALL,ALL,l2,79.09021407
2021,2190,North East,E08000024,394,Sunderland,ALL,No SEN,l2,84.61187215
2021,112,North East,E08000024,394,Sunderland,ALL,SEN with statements or EHC plans,l2,16.96428571
2021,314,North East,E08000024,394,Sunderland,ALL,SEN without statements or EHC plans,l2,62.7388535
2021,2059,North East,E08000024,394,Sunderland,Not eligible for FSM,ALL,l2,83.43856241
2021,557,North East,E08000024,394,Sunderland,Eligible for FSM,ALL,l2,63.01615799
2021,1892,North East,E08000037,390,Gateshead,ALL,ALL,l2,79.96828753
2021,1665,North East,E08000037,390,Gateshead,ALL,No SEN,l2,84.56456456
2021,86,North East,E08000037,390,Gateshead,ALL,SEN with statements or EHC plans,l2,26.74418605
2021,141,North East,E08000037,390,Gateshead,ALL,SEN without statements or EHC plans,l2,58.15602837
2021,1595,North East,E08000037,390,Gateshead,Not eligible for FSM,ALL,l2,84.63949843
2021,297,North East,E08000037,390,Gateshead,Eligible for FSM,ALL,l2,54.88215488
2021,14092,East of England,E10000012,881,Essex,ALL,ALL,l2,81.27306273
2021,12306,East of England,E10000012,881,Essex,ALL,No SEN,l2,85.55988948
2021,589,East of England,E10000012,881,Essex,ALL,SEN with statements or EHC plans,l2,33.27674024
2021,1197,East of England,E10000012,881,Essex,ALL,SEN without statements or EHC plans,l2,60.81871345
2021,12906,East of England,E10000012,881,Essex,Not eligible for FSM,ALL,l2,83.43406168
2021,1186,East of England,E10000012,881,Essex,Eligible for FSM,ALL,l2,57.75716695
2021,12422,East of England,E10000015,919,Hertfordshire,ALL,ALL,l2,87.44968604
2021,10468,East of England,E10000015,919,Hertfordshire,ALL,No SEN,l2,91.59342759
2021,333,East of England,E10000015,919,Hertfordshire,ALL,SEN with statements or EHC plans,l2,31.83183183
2021,1621,East of England,E10000015,919,Hertfordshire,ALL,SEN without statements or EHC plans,l2,72.11597779
2021,11592,East of England,E10000015,919,Hertfordshire,Not eligible for FSM,ALL,l2,89.03554175
2021,830,East of England,E10000015,919,Hertfordshire,Eligible for FSM,ALL,l2,65.30120482
2021,2886,London,E09000026,317,Redbridge,Not eligible for FSM,ALL,l2,90.22869023
2021,559,London,E09000026,317,Redbridge,Eligible for FSM,ALL,l2,82.82647585
2021,1478,London,E09000027,318,Richmond upon Thames,ALL,ALL,l2,87.00947226
2021,1232,London,E09000027,318,Richmond upon Thames,ALL,No SEN,l2,91.72077922
2021,74,London,E09000027,318,Richmond upon Thames,ALL,SEN with statements or EHC plans,l2,47.2972973
2021,172,London,E09000027,318,Richmond upon Thames,ALL,SEN without statements or EHC plans,l2,70.34883721
2021,1328,London,E09000027,318,Richmond upon Thames,Not eligible for FSM,ALL,l2,88.78012048
2021,150,London,E09000027,318,Richmond upon Thames,Eligible for FSM,ALL,l2,71.33333333
2021,2423,London,E09000028,210,Southwark,ALL,ALL,l2,86.38052002
2021,1992,London,E09000028,210,Southwark,ALL,No SEN,l2,91.16465863
2021,105,London,E09000028,210,Southwark,ALL,SEN with statements or EHC plans,l2,32.38095238
2021,326,London,E09000028,210,Southwark,ALL,SEN without statements or EHC plans,l2,74.5398773
2021,1768,London,E09000028,210,Southwark,Not eligible for FSM,ALL,l2,89.64932127
2021,655,London,E09000028,210,Southwark,Eligible for FSM,ALL,l2,77.55725191
2021,2538,London,E09000029,319,Sutton,ALL,ALL,l2,90.78014184
2021,2253,London,E09000029,319,Sutton,ALL,No SEN,l2,93.87483356
2021,90,London,E09000029,319,Sutton,ALL,SEN with statements or EHC plans,l2,42.22222222
2021,195,London,E09000029,319,Sutton,ALL,SEN without statements or EHC plans,l2,77.43589744
2021,2271,London,E09000029,319,Sutton,Not eligible for FSM,ALL,l2,92.60237781
2021,267,London,E09000029,319,Sutton,Eligible for FSM,ALL,l2,75.28089888
2021,2657,London,E09000030,211,Tower Hamlets,ALL,ALL,l2,84.2679714
2021,2223,London,E09000030,211,Tower Hamlets,ALL,No SEN,l2,90.28340081
2021,132,London,E09000030,211,Tower Hamlets,ALL,SEN with statements or EHC plans,l2,32.57575758
2021,302,London,E09000030,211,Tower Hamlets,ALL,SEN without statements or EHC plans,l2,62.58278146
2021,1533,London,E09000030,211,Tower Hamlets,Not eligible for FSM,ALL,l2,87.86692759
2021,1124,London,E09000030,211,Tower Hamlets,Eligible for FSM,ALL,l2,79.3594306
2021,2622,London,E09000031,320,Waltham Forest,ALL,ALL,l2,87.14721587
2021,2141,London,E09000031,320,Waltham Forest,ALL,No SEN,l2,92.19990659
2021,118,London,E09000031,320,Waltham Forest,ALL,SEN with statements or EHC plans,l2,28.81355932
2021,363,London,E09000031,320,Waltham Forest,ALL,SEN without statements or EHC plans,l2,76.30853994
2021,2231,London,E09000031,320,Waltham Forest,Not eligible for FSM,ALL,l2,87.85298073
2021,391,London,E09000031,320,Waltham Forest,Eligible for FSM,ALL,l2,83.1202046
2021,1748,London,E09000032,212,Wandsworth,ALL,ALL,l2,84.26773455
2021,1348,London,E09000032,212,Wandsworth,ALL,No SEN,l2,89.9851632
2021,119,London,E09000032,212,Wandsworth,ALL,SEN with statements or EHC plans,l2,33.61344538
2021,281,London,E09000032,212,Wandsworth,ALL,SEN without statements or EHC plans,l2,78.29181495
2021,1504,London,E09000032,212,Wandsworth,Not eligible for FSM,ALL,l2,85.7712766
2021,244,London,E09000032,212,Wandsworth,Eligible for FSM,ALL,l2,75
2021,1517,London,E09000033,213,Westminster,ALL,ALL,l2,88.79367172
2021,1186,London,E09000033,213,Westminster,ALL,No SEN,l2,94.35075885
2021,70,London,E09000033,213,Westminster,ALL,SEN with statements or EHC plans,l2,52.85714286
2021,261,London,E09000033,213,Westminster,ALL,SEN without statements or EHC plans,l2,73.18007663
2021,1128,London,E09000033,213,Westminster,Not eligible for FSM,ALL,l2,90.42553191
2021,389,London,E09000033,213,Westminster,Eligible for FSM,ALL,l2,84.06169666
2021,1019,North East,E06000001,805,Hartlepool,ALL,ALL,l2,80.47105005
2021,868,North East,E06000001,805,Hartlepool,ALL,No SEN,l2,84.79262673
2021,40,North East,E06000001,805,Hartlepool,ALL,SEN with statements or EHC plans,l2,22.5
2021,111,North East,E06000001,805,Hartlepool,ALL,SEN without statements or EHC plans,l2,67.56756757
2021,806,North East,E06000001,805,Hartlepool,Not eligible for FSM,ALL,l2,85.60794045
2021,213,North East,E06000001,805,Hartlepool,Eligible for FSM,ALL,l2,61.03286385
2021,1623,South East,E06000037,869,West Berkshire,Not eligible for FSM,ALL,l2,85.15095502
2021,132,South East,E06000037,869,West Berkshire,Eligible for FSM,ALL,l2,55.3030303
2021,1093,South East,E06000038,870,Reading,ALL,ALL,l2,74.7483989
2021,948,South East,E06000038,870,Reading,ALL,No SEN,l2,79.95780591
2021,42,South East,E06000038,870,Reading,ALL,SEN with statements or EHC plans,l2,23.80952381
2021,103,South East,E06000038,870,Reading,ALL,SEN without statements or EHC plans,l2,47.57281553
2021,988,South East,E06000038,870,Reading,Not eligible for FSM,ALL,l2,77.53036437
2021,105,South East,E06000038,870,Reading,Eligible for FSM,ALL,l2,48.57142857
2021,1668,South East,E06000039,871,Slough,ALL,ALL,l2,89.14868106
2021,1523,South East,E06000039,871,Slough,ALL,No SEN,l2,91.85817466
2021,24,South East,E06000039,871,Slough,ALL,SEN with statements or EHC plans,l2,50
2021,121,South East,E06000039,871,Slough,ALL,SEN without statements or EHC plans,l2,62.80991736
2021,1524,South East,E06000039,871,Slough,Not eligible for FSM,ALL,l2,90.4855643
2021,144,South East,E06000039,871,Slough,Eligible for FSM,ALL,l2,75
2021,1496,South East,E06000040,868,Windsor and Maidenhead,ALL,ALL,l2,87.09893048
2021,1264,South East,E06000040,868,Windsor and Maidenhead,ALL,No SEN,l2,91.69303797
